migrationKey,authorizationMigrationKey,invoice,JAMIS Project ID,modNumber,legacyId,lineScope,lineNumber,displayOrder,Title,lineType,jobId,description,amount,comments,
IWA-KITS-TGS-2025-M-2346:TRAVEL:2368,IWA-KITS-TGS-2025-M-2346,100783-0001,,0,2368,base,1,1,DHS 0097 BP CLIN 0003 ODC Travel,travel,100783-0001-0003-0001,DHS 0097 BP CLIN 0003 ODC Travel,4000,,
IWA-KDS-KET-2025-M-1956:TRAVEL:2342,IWA-KDS-KET-2025-M-1956,100700-0001,100708,0,2342,base,2,2,Migrated Travel/ODC,travel,100700-0001-0001-0002,Migrated legacy ODC amount,0,,No travel only ODC
IWA-PAC-KPS-2025-M-2346:TRAVEL:2347,IWA-PAC-KPS-2025-M-2346,100746-0001,100821,0,2347,base,1,1,GSA 0237 BP CLIN 0004 Fargo: Fed Bldg/Courthouse,travel,100746-0001-0004-0001,GSA 0237 BP CLIN 0004 Fargo: Fed Bldg/Courthouse,5000,,
IWA-KOS-KGS-2025-M-2305:TRAVEL:2318,IWA-KOS-KGS-2025-M-2305,100532-0001,100812,0,2318,base,1,1,BEP 0059 OY1 CLIN 1009 Other - Cost reimbursement,travel,100532-0002-0009-0001,BEP 0059 OY1 CLIN 1009 Other - Cost reimbursement,15000,,
IWA-KMS-ATS-2025-M-2254:TRAVEL:2325,IWA-KMS-ATS-2025-M-2254,100161-0017,100810,0,2325,base,1,1,DeCA 0064 OP4 CLIN 4004 Special Studies,travel,100161-0017-0004-0001,DeCA 0064 OP4 CLIN 4004 Special Studies,1000,,
IWA-KITS-KDS-2025-M-2257:TRAVEL:2266,IWA-KITS-KDS-2025-M-2257,100743-0001,100772,0,2266,base,1,1,Migrated Travel/ODC,travel,100743-0001-0031-0001,Migrated legacy ODC amount,10000,,ODC
IWA-KITS-KMS-2023-M-1053:TRAVEL:1285,IWA-KITS-KMS-2023-M-1053,D000001,I001200,0,1285,base,1,1,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,10000,,No travel or ODC
IWA-KITS-KMS-2023-M-1053:TRAVEL:1444,IWA-KITS-KMS-2023-M-1053,D000001,I001200,1,1444,mod,2,2,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,15000,,No travel or ODC
IWA-KAD-ATS-2023-M-996:TRAVEL:1018,IWA-KAD-ATS-2023-M-996,100092-0003,1002600001,0,1018,base,1,1,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,5000,,
IWA-KAD-ATS-2023-M-996:TRAVEL:1406,IWA-KAD-ATS-2023-M-996,100092-0003,1002600001,1,1406,mod,2,2,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,1000,,
IWA-KAD-ATS-2023-M-996:TRAVEL:1486,IWA-KAD-ATS-2023-M-996,100092-0003,1002600001,2,1486,mod,3,3,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,5000,,
IWA-KAD-ATS-2023-M-996:TRAVEL:1510,IWA-KAD-ATS-2023-M-996,100092-0003,1002600001,3,1510,mod,4,4,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,0,,
IWA-KAD-ATS-2023-M-996:TRAVEL:1789,IWA-KAD-ATS-2023-M-996,100092-0003,1002600001,4,1789,mod,5,5,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,5000,,
IWA-KPS-KMS-2024-M-1619:TRAVEL:1619,IWA-KPS-KMS-2024-M-1619,100178-0001,I001105,0,1619,base,1,1,Migrated Travel/ODC,travel,100178-0001-0002,Migrated legacy ODC amount,5000,,
IWA-KITS-KMS-2024-M-1546:TRAVEL:1572,IWA-KITS-KMS-2024-M-1546,100492-0001,I001202,0,1572,base,1,1,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,10000,,
IWA-KPS-PAC-2024-M-1519:TRAVEL:1537,IWA-KPS-PAC-2024-M-1519,N/A,I001002,0,1537,base,1,1,Migrated Travel/ODC,travel,,Migrated legacy ODC amount,0,,
IWA-KDS-TGS-2023-M-1143:TRAVEL:1158,IWA-KDS-TGS-2023-M-1143,100122-0002,I001400,1,1158,mod,2,2,Migrated Travel/ODC,travel,100122-0002-0017,Migrated legacy ODC amount,6000,,
IWA-KAD-TGS-2024-M-1338:TRAVEL:1338,IWA-KAD-TGS-2024-M-1338,N/A,I000207,0,1338,base,1,1,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,7000,,Flipped description?
IWA-KAD-TGS-2024-M-1338:TRAVEL:1341,IWA-KAD-TGS-2024-M-1338,N/A,I000207,1,1341,mod,2,2,Migrated Travel/ODC,travel,N/A,Migrated legacy ODC amount,8500,,Flipped description?
IWA-KPS-TGS-2023-M-1302:TRAVEL:1302,IWA-KPS-TGS-2023-M-1302,100171-0001,I001204,0,1302,base,1,1,Migrated Travel/ODC,odc,N/A,Migrated legacy ODC amount,25000,,
